iteration [];theta [°];theta [rad];Couple [Nm];omega [rad/s]
144;184.065803;3.212554;0.007418;29.226675
145;192.459879;3.359059;0.022989;29.300854
146;200.919815;3.506712;0.028841;29.530747
147;209.462373;3.655808;0.030926;29.819153
148;218.093527;3.806450;0.016345;30.128411
149;226.771505;3.957909;0.028344;30.291857
150;235.530683;4.110786;0.031260;30.575298
151;244.379413;4.265225;0.009388;30.887894
152;253.255037;4.420134;0.022866;30.981774
153;262.196168;4.576186;0.031982;31.210435
154;271.228919;4.733838;-0.000033;31.530250
155;280.261575;4.891487;0.018507;31.529916
156;289.347249;5.050062;0.028448;31.714987
157;298.514422;5.210060;0.034051;31.999470
158;307.779143;5.371759;0.016371;32.339978
159;317.090764;5.534278;0.027809;32.503688
160;326.482052;5.698187;0.033437;32.781779
161;335.969131;5.863768;0.011942;33.116154
162;345.490421;6.029945;0.025406;33.235571
163;355.084492;6.197394;0.031499;33.489627
164;4.768800;0.083231;0.010430;33.804612
165;14.482989;0.252776;0.024565;33.908917
166;24.267551;0.423549;0.029125;34.154563
167;34.135548;0.595778;0.006825;34.445808
168;44.023099;0.768348;0.023081;34.514063
169;53.976770;0.942072;0.031224;34.744868
170;64.019891;1.117358;0.007320;35.057104
171;74.083982;1.293009;0.023094;35.130307
172;84.214232;1.469816;0.029191;35.361242
173;94.428108;1.648081;0.008736;35.653154
174;104.667011;1.826784;0.024751;35.740514
175;114.976822;2.006724;0.031576;35.988028
176;125.377092;2.188243;0.012024;36.303792
177;135.811810;2.370363;0.026920;36.424036
178;146.323648;2.553829;0.033338;36.693239
179;156.930994;2.738963;0.014252;37.026623
180;167.579169;2.924808;0.028618;37.169139
181;178.309328;3.112085;0.034311;37.455321
182;189.137782;3.301077;0.017892;37.798434
183;200.017493;3.490964;0.027729;37.977358
184;210.976643;3.682237;-0.000428;38.254649
185;221.934567;3.873489;0.022488;38.250372
186;232.956915;4.065865;0.033576;38.475252
187;244.075449;4.259920;0.007439;38.811007
188;255.215294;4.454347;0.025080;38.885394
189;266.426989;4.650028;0.033379;39.136196
190;277.734308;4.847378;0.015790;39.469990
191;289.086862;5.045518;0.028606;39.627889
192;300.521367;5.245087;-0.000365;39.913953
193;311.954825;5.444639;0.022577;39.910299
194;323.452963;5.645319;0.030151;40.136072
195;335.037478;5.847507;0.010367;40.437586
196;346.651693;6.050213;0.028204;40.541257
197;358.346707;6.254330;0.034261;40.823302
198;10.139872;0.176974;0.018641;41.165909
199;21.986437;0.383736;0.031940;41.352315
200;33.924505;0.592094;0.006374;41.671719
201;45.880834;0.800772;0.027302;41.735460
202;57.915376;1.010814;0.035107;42.008479
