1;0.000000;0.000000;-0.011822;1.000000
2;0.252612;0.004409;-0.000714;0.881784
3;0.503180;0.008782;-0.000343;0.874647
4;0.752765;0.013138;0.000102;0.871216
5;1.002643;0.017499;0.000483;0.872237
6;1.253903;0.021885;0.000868;0.877064
7;1.507651;0.026313;0.001263;0.885745
8;1.765016;0.030805;0.001671;0.898374
9;2.027167;0.035381;0.002344;0.915080
10;2.296034;0.040073;0.002776;0.938524
11;2.572855;0.044905;0.003221;0.966288
12;2.858905;0.049897;0.003678;0.998503
13;3.155492;0.055074;0.005431;1.035283
14;3.467639;0.060522;0.006129;1.089597
15;3.797342;0.066276;0.006854;1.150882
16;4.146682;0.072373;0.007600;1.219425
17;4.517795;0.078850;0.009768;1.295428
18;4.916890;0.085816;0.010828;1.393107
19;5.347007;0.093323;0.011941;1.501390
20;5.811333;0.101427;0.012312;1.620802
21;6.310930;0.110147;0.013395;1.743925
22;6.848902;0.119536;0.014459;1.877875
23;7.428296;0.129648;0.015790;2.022467
24;8.052926;0.140550;0.016695;2.180369
25;8.725382;0.152287;0.017627;2.347317
26;9.448335;0.164905;0.018392;2.523582
27;10.223979;0.178442;0.018591;2.707507
28;11.052880;0.192909;0.020085;2.893412
29;11.939322;0.208380;0.022469;3.094264
30;12.890132;0.224975;0.023148;3.318954
31;13.907257;0.242727;0.022965;3.550434
32;14.990170;0.261628;0.024823;3.780080
33;16.144195;0.281769;0.027141;4.028307
34;17.375974;0.303268;0.027748;4.299720
35;18.687246;0.326154;0.027736;4.577204
36;20.077975;0.350427;0.027560;4.854559
37;21.547656;0.376078;0.028578;5.130156
38;23.099208;0.403157;0.031492;5.415938
39;24.740978;0.431812;0.029634;5.730859
40;26.467645;0.461948;0.033206;6.027204
41;28.289439;0.493744;0.031539;6.359261
42;30.201587;0.527117;-0.001587;6.674655
43;32.109187;0.560411;0.001646;6.658781
44;34.021502;0.593787;0.006466;6.675238
45;35.952342;0.627487;0.011750;6.739901
46;37.916842;0.661774;0.015912;6.857399
47;39.926927;0.696856;0.018248;7.016521
48;41.989289;0.732851;0.022333;7.199000
49;44.115631;0.769963;0.022880;7.422334
50;46.307519;0.808219;0.027580;7.651135
