iteration [];theta [°];theta [rad];Couple [Nm];omega [rad/s]
368;260.504871;4.546668;0.027839;137.088223
369;299.857508;5.233501;0.078786;137.366617
370;339.435852;5.924273;0.048897;138.154481
371;19.154275;0.334305;0.035805;138.643453
372;58.975273;1.029313;0.068148;139.001506
373;98.991501;1.727728;0.047978;139.682985
374;139.145176;2.428541;0.035796;140.162769
375;179.401399;3.131145;0.073217;140.520724
376;219.867371;3.837410;0.049802;141.252891
377;260.476014;4.546164;0.027843;141.750906
378;301.164423;5.256311;0.002665;142.029339
379;341.860467;5.966591;0.039590;142.055993
380;22.669930;0.395665;0.029006;142.451897
381;63.562489;1.109375;0.035808;142.741959
382;104.557631;1.824875;0.035592;143.100043
383;145.654738;2.542155;0.040569;143.455964
384;186.868065;3.261463;0.037122;143.861652
385;228.187741;3.982627;0.029283;144.232876
386;269.591305;4.705256;0.077581;144.525704
387;311.217124;5.431763;0.045708;145.301518
388;352.973885;6.160556;0.029937;145.758594
389;34.816409;0.607661;0.053726;146.057964
390;76.812847;1.340637;0.029510;146.595222
391;118.893826;2.075089;0.067409;146.890327
392;161.167918;2.812911;0.046092;147.564421
393;203.574053;3.553038;0.032187;148.025336
394;246.072398;4.294774;0.048710;148.347209
395;288.710287;5.038945;0.032316;148.834310
396;331.440754;5.784732;0.003198;149.157469
397;14.180384;0.247494;0.036336;149.189453
398;57.024111;0.995258;0.055553;149.552817
399;100.026985;1.745800;0.049788;150.108348
400;143.172491;2.498831;0.030682;150.606230
401;186.405895;3.253397;0.043793;150.913049
