iteration [];theta [°];theta [rad];Couple [Nm];omega [rad/s]
1;0.000000;0.000000;-0.038487;1.000000
2;0.176221;0.003076;0.007415;0.615129
3;0.373687;0.006522;0.008716;0.689283
4;0.596120;0.010404;0.013790;0.776440
5;0.858058;0.014976;0.019430;0.914336
6;1.175658;0.020519;0.024809;1.108634
7;1.564330;0.027303;0.027909;1.356721
8;2.032954;0.035482;0.027309;1.635807
9;2.579814;0.045026;0.027414;1.908899
10;3.205208;0.055941;0.037042;2.183038
11;3.936719;0.068709;0.041098;2.553454
12;4.785967;0.083531;0.039835;2.964437
13;5.749336;0.100345;0.040454;3.362789
14;6.828595;0.119181;0.040646;3.767325
15;8.024296;0.140050;0.037500;4.173783
16;9.327425;0.162794;0.038049;4.548779
17;10.739556;0.187441;0.035414;4.929269
18;12.253142;0.213858;0.034792;5.283409
19;13.866399;0.242014;0.032483;5.631332
20;15.572714;0.271795;0.031846;5.956163
21;17.370262;0.303168;0.031280;6.274623
22;19.257418;0.336105;0.031526;6.587419
23;21.234891;0.370619;0.035083;6.902683
24;23.312869;0.406886;0.039970;7.253511
25;25.505352;0.445152;0.052426;7.653210
26;27.848025;0.486040;0.075871;8.177473
27;30.408052;0.530721;0.009525;8.936179
28;32.995367;0.575878;0.035944;9.031432
29;35.685653;0.622832;0.040407;9.390868
30;38.491697;0.671807;0.038716;9.794942
31;41.408654;0.722717;0.035576;10.182100
32;44.427529;0.775407;0.032695;10.537864
33;47.540069;0.829731;0.031300;10.864812
34;50.742276;0.885620;0.033513;11.177813
35;54.040491;0.943184;0.043349;11.512941
36;57.462891;1.002917;0.071566;11.946431
37;61.090312;1.066227;0.023567;12.662086
38;64.785247;1.130716;0.039830;12.897758
39;68.594288;1.197196;0.038459;13.296061
40;72.513506;1.265599;0.034507;13.680651
41;76.531579;1.335728;0.030860;14.025719
42;80.638058;1.407400;0.033378;14.334318
43;84.840159;1.480740;0.047341;14.668100
44;89.177882;1.556448;0.088514;15.141509
45;93.769179;1.636581;0.040475;16.026650
46;98.476427;1.718738;0.039804;16.431397
47;103.297705;1.802885;0.033241;16.829435
48;108.214211;1.888694;0.031384;17.161844
49;113.220626;1.976073;0.039693;17.475683
50;118.340753;2.065436;0.083613;17.872616
51;123.700413;2.158979;0.040138;18.708743
52;129.175060;2.254530;0.038109;19.110121
53;134.758881;2.351986;0.032423;19.491213
54;140.435586;2.451063;0.033150;19.815441
55;146.207260;2.551798;0.056258;20.146941
56;152.140102;2.655346;0.026804;20.709525
57;158.149732;2.760234;0.037098;20.977565
58;164.265639;2.866976;0.033580;21.348545
59;170.477745;2.975398;0.033176;21.684341
60;176.784895;3.085478;0.060996;22.016106
61;183.266784;3.198609;0.037371;22.626061
62;189.855733;3.313608;0.037411;22.999769
63;196.551856;3.430477;0.030852;23.373879
64;203.336365;3.548889;0.040042;23.682404
65;210.235584;3.669303;0.006897;24.082820
66;217.154562;3.790062;0.040204;24.151788
67;224.188716;3.912831;0.033744;24.553829
68;231.319540;4.037288;0.035041;24.891271
69;238.550748;4.163496;0.085149;25.241677
70;246.025888;4.293962;0.040438;26.093163
71;253.616876;4.426450;0.032656;26.497545
72;261.301416;4.560570;0.034990;26.824106
73;269.086196;4.696440;0.088251;27.174009
74;277.123797;4.836723;0.040280;28.056520
75;285.276791;4.979019;0.032130;28.459316
76;293.521831;5.122922;0.040636;28.780620
77;301.883286;5.268857;0.027861;29.186984
78;310.324556;5.416185;0.036547;29.465593
79;318.870528;5.565341;0.031627;29.831068
80;327.507103;5.716077;0.071979;30.147334
81;336.349883;5.870413;0.040645;30.867126
82;345.309103;6.026781;0.032077;31.273576
83;354.360216;6.184753;0.046380;31.594346
84;3.544199;0.061858;0.039218;32.058147
85;12.840532;0.224110;0.034178;32.450325
86;22.234778;0.388070;0.036299;32.792104
87;31.733011;0.553846;0.028146;33.155090
88;41.311878;0.721028;0.036457;33.436553
89;50.995187;0.890034;0.034006;33.801125
90;60.775916;1.060740;0.017732;34.141185
91;70.607443;1.232332;0.035727;34.318501
92;80.541318;1.405711;0.033257;34.675767
93;90.570467;1.580753;0.013217;35.008333
94;100.637478;1.756455;0.035662;35.140499
95;110.806655;1.933941;0.033550;35.497124
96;121.071945;2.113104;0.023293;35.832621
97;131.403963;2.293432;0.035579;36.065548
98;141.837907;2.475538;0.035582;36.421333
99;152.373785;2.659424;0.025553;36.777153
100;162.982867;2.844588;0.033815;37.032683
101;173.688822;3.031442;0.041160;37.370831
102;184.512690;3.220354;0.041015;37.782429
103;195.454059;3.411317;0.031869;38.192582
104;206.486726;3.603873;0.057910;38.511273
105;217.685295;3.799325;0.038671;39.090378
106;228.994648;3.996711;0.031552;39.477090
107;240.394391;4.195674;0.009198;39.792610
108;251.820483;4.395097;0.035036;39.884587
109;263.346947;4.596271;0.040075;40.234949
110;274.988216;4.799450;0.038684;40.635695
111;286.740307;5.004562;0.031067;41.022535
112;298.581399;5.211228;0.085439;41.333209
113;310.667256;5.422166;0.035609;42.187599
114;322.855125;5.634885;0.039568;42.543689
115;335.156348;5.849582;0.037616;42.939368
116;347.565332;6.066159;0.031280;43.315527
117;0.063926;0.001116;0.004723;43.628323
118;12.576050;0.219493;0.034405;43.675552
119;25.186739;0.439592;0.049050;44.019607
120;37.937944;0.662142;0.037787;44.510104
121;50.797400;0.886582;0.033573;44.887970
122;63.753037;1.112700;0.040383;45.223705
123;76.824364;1.340838;0.032456;45.627537
124;89.988671;1.570599;0.111664;45.952099
125;103.472872;1.805942;0.032887;47.068740
126;117.051286;2.042930;0.068417;47.397608
127;130.825702;2.283339;0.035247;48.081781
128;144.701093;2.525511;0.046701;48.434254
129;158.710275;2.770017;0.038400;48.901268
130;172.829465;3.016443;0.039441;49.285272
131;187.061646;3.264842;0.040426;49.679685
132;201.409639;3.515261;0.035188;50.083944
133;215.858439;3.767440;0.040508;50.435825
134;230.423286;4.021645;0.033135;50.840907
135;245.083059;4.277506;0.038077;51.172261
136;259.851914;4.535271;0.033303;51.553030
137;274.716176;4.794702;0.040197;51.886064
138;289.695595;5.056142;0.033409;52.288035
139;304.770724;5.319253;0.039922;52.622127
140;319.960220;5.584359;0.033615;53.021344
141;335.246015;5.851147;0.037044;53.357491
142;350.637935;6.119786;0.033377;53.727936
143;6.125473;0.106910;0.040531;54.061707
144;21.729124;0.379245;0.035463;54.467015
145;37.434369;0.653353;0.039519;54.821649
146;53.252828;0.929437;0.039801;55.216837
147;69.185308;1.207511;0.038081;55.614846
148;85.226881;1.487490;0.049253;55.995653
149;101.409552;1.769931;0.035553;56.488178
150;117.694075;2.054149;0.074107;56.843711
151;134.190900;2.342073;0.033757;57.584783
152;150.784431;2.631685;0.017927;57.922348
153;167.429318;2.922193;0.031262;58.101618
154;184.163763;3.214264;0.041536;58.414233
155;201.017200;3.508412;0.034025;58.829592
156;217.968113;3.804261;0.037682;59.169846
157;235.026975;4.101995;0.048279;59.546663
158;252.224146;4.402142;0.034809;60.029453
159;269.521038;4.704030;0.088410;60.377544
160;287.071208;5.010338;0.032260;61.261648
161;304.713795;5.318259;0.040210;61.584246
162;322.471575;5.628191;0.037041;61.986348
163;340.335470;5.939975;0.036485;62.356755
164;358.303887;6.253583;0.083123;62.721609
165;16.510434;0.288161;0.030873;63.552838
166;34.805426;0.607469;0.039742;63.861569
167;53.214270;0.928764;0.039686;64.258989
168;71.736807;1.252043;0.035078;64.655851
169;90.359836;1.577077;0.008483;65.006635
170;109.007167;1.902534;0.031512;65.091464
171;127.744774;2.229567;0.038467;65.406589
172;146.592583;2.558523;0.058530;65.791264
173;165.608068;2.890406;0.031782;66.376564
174;184.714601;3.223878;0.040200;66.694383
175;203.936299;3.559360;0.042623;67.096384
176;223.280103;3.896973;0.033299;67.522612
177;242.719301;4.236251;0.033920;67.855603
178;262.255674;4.577225;0.036344;68.194806
179;281.896166;4.920016;0.035007;68.558250
