iteration;Couple;omega
266;0.083913;104.197752
267;0.084907;105.036878
268;0.087193;105.885945
269;0.088550;106.757871
270;0.007092;107.643374
271;0.024326;107.714296
272;0.027162;107.957557
273;0.036176;108.229178
274;0.041534;108.590934
275;0.038797;109.006272
276;0.040715;109.394238
277;0.037683;109.801386
278;0.037603;110.178220
279;0.035456;110.554248
280;0.033420;110.908806
281;0.032229;111.243006
282;0.032247;111.565298
283;0.031516;111.887765
284;0.035096;112.202921
285;0.040536;112.553878
286;0.054877;112.959235
287;0.083109;113.508008
288;0.024014;114.339100
289;0.041125;114.579241
290;0.040562;114.990493
291;0.037419;115.396109
292;0.033804;115.770296
293;0.031008;116.108333
294;0.033691;116.418408
295;0.039553;116.755318
296;0.059874;117.150851
297;0.010843;117.749587
298;0.041538;117.858021
299;0.037220;118.273405
300;0.034882;118.645603
301;0.031206;118.994419
302;0.033053;119.306480
303;0.046437;119.637008
304;0.088171;120.101373
305;0.040190;120.983078
306;0.038719;121.384975
307;0.033079;121.772166
308;0.031729;122.102954
309;0.040320;122.420246
310;0.085641;122.823444
311;0.041344;123.679850
312;0.037852;124.093295
313;0.032138;124.471810
314;0.034009;124.793188
315;0.061616;125.133279
316;0.035050;125.749436
317;0.038143;126.099934
318;0.032156;126.481361
319;0.035376;126.802920
320;0.077389;127.156681
321;0.040583;127.930568
322;0.035551;128.336400
323;0.031360;128.691906
324;0.049264;129.005501
325;0.025836;129.498139
326;0.037989;129.756496
327;0.031416;130.136384
328;0.045061;130.450546
329;0.028064;130.901158
330;0.038080;131.181799
331;0.032007;131.562603
332;0.046682;131.882669
333;0.027559;132.349486
334;0.035721;132.625080
335;0.031570;132.982292
336;0.063510;133.297992
337;0.036991;133.933093
338;0.032525;134.303001
339;0.036455;134.628255
340;0.021705;134.992807
341;0.037661;135.209861
342;0.031541;135.586475
343;0.071778;135.901883
344;0.040774;136.619658
345;0.031659;137.027397
346;0.049265;137.343992
347;0.040204;137.836638
348;0.032772;138.238680
349;0.043215;138.566398
350;0.040743;138.998545
351;0.032485;139.405978
352;0.041584;139.730830
353;0.041143;140.146675
354;0.033781;140.558103
355;0.046214;140.895912
356;0.038131;141.358057
357;0.031765;141.739366
358;0.057296;142.057012
359;0.039961;142.629976
360;0.031380;143.029585
361;0.088685;143.343389
362;0.035762;144.230240
363;0.035886;144.587865
364;0.039216;144.946720
365;0.032223;145.338884
366;0.063641;145.661118
367;0.038244;146.297532
368;0.033602;146.679972
369;0.035763;147.015994
370;0.032196;147.373625
371;0.071766;147.695586
372;0.037259;148.413250
373;0.038578;148.785841
374;0.037258;149.171623
375;0.031387;149.544206
376;0.024284;149.858080
377;0.033694;150.100916
378;0.071010;150.437851
379;0.035927;151.147947
380;0.042652;151.507222
381;0.039415;151.933745
