iteration;Couple;omega
1;-0.044461;1.000000
2;0.001351;0.555386
3;0.002618;0.568895
4;0.006619;0.595071
5;0.007824;0.661256
6;0.010597;0.739499
7;0.013450;0.845467
8;0.015996;0.979969
9;0.018024;1.139927
10;0.019682;1.320167
11;0.021640;1.516991
12;0.023545;1.733396
13;0.025761;1.968845
14;0.027284;2.226455
15;0.028945;2.499300
16;0.029829;2.788755
17;0.031050;3.087045
18;0.031420;3.397547
19;0.031172;3.711749
20;0.031159;4.023465
21;0.030936;4.335059
22;0.030612;4.644422
23;0.030382;4.950544
24;0.030294;5.254367
25;0.030732;5.557303
26;0.032001;5.864619
27;0.034766;6.184633
28;0.040420;6.532290
29;0.050184;6.936489
30;0.069821;7.438327
31;0.104340;8.136536
32;0.015317;9.179938
33;0.026744;9.333109
34;0.030855;9.600544
35;0.031276;9.909090
36;0.030568;10.221850
37;0.030273;10.527527
38;0.032028;10.830258
39;0.038711;11.150542
40;0.057375;11.537653
41;0.103283;12.111405
42;0.021042;13.144237
43;0.030647;13.354662
44;0.030993;13.661128
45;0.030236;13.971060
46;0.031707;14.273416
47;0.040929;14.590485
48;0.073670;14.999777
49;0.014034;15.736477
50;0.029813;15.876819
51;0.030891;16.174949
52;0.030311;16.483859
53;0.033951;16.786968
54;0.054588;17.126476
55;0.127401;17.672356
56;0.029408;18.946365
57;0.031057;19.240443
58;0.030641;19.551009
59;0.039890;19.857423
60;0.092450;20.256319
61;0.026639;21.180817
62;0.030991;21.447206
63;0.030590;21.757116
64;0.041944;22.063015
65;0.114043;22.482457
66;0.029916;23.622888
67;0.030451;23.922043
68;0.033622;24.226557
69;0.073965;24.562779
70;0.026634;25.302432
71;0.030824;25.568771
72;0.032067;25.877010
73;0.068388;26.197679
74;0.026466;26.881562
75;0.030570;27.146225
76;0.033482;27.451927
77;0.083029;27.786748
78;0.029784;28.617033
79;0.030295;28.914878
80;0.040834;29.217830
81;0.009988;29.626165
82;0.031353;29.726041
83;0.031537;30.039573
84;0.073838;30.354938
85;0.029648;31.093323
86;0.030060;31.389799
87;0.046855;31.690401
88;0.022833;32.158956
89;0.030705;32.387284
90;0.037621;32.694336
91;0.011692;33.070544
92;0.031266;33.187464
93;0.034195;33.500120
94;0.126092;33.842068
95;0.031157;35.102986
96;0.034042;35.414560
97;0.001832;35.754982
98;0.031282;35.773304
99;0.036006;36.086127
100;0.014537;36.446191
101;0.030551;36.591565
102;0.040589;36.897070
103;0.023277;37.302961
104;0.030375;37.535730
105;0.052079;37.839481
106;0.029667;38.360274
107;0.030684;38.656948
108;0.090532;38.963788
109;0.031392;39.869112
110;0.035865;40.183032
111;0.020656;40.541685
112;0.030274;40.748244
113;0.062637;41.050986
114;0.031393;41.677353
115;0.033737;41.991287
116;0.019354;42.328654
117;0.030266;42.522194
118;0.069370;42.824853
119;0.031120;43.518549
120;0.037277;43.829751
121;0.026770;44.202519
122;0.030684;44.470223
123;0.123112;44.777059
124;0.030438;46.008182
125;0.064663;46.312564
126;0.031339;46.959196
127;0.043267;47.272590
128;0.030816;47.705260
129;0.035125;48.013420
