iteration;Couple;omega
266;0.003794;99.146009
267;-0.000328;99.183947
268;0.063599;99.180669
269;0.055755;99.816655
270;0.041110;100.374201
271;0.040948;100.785304
272;0.033194;101.194788
273;0.029237;101.526729
274;0.030036;101.819097
275;0.028586;102.119454
276;0.027845;102.405319
277;0.027904;102.683766
278;0.028124;102.962805
279;0.035211;103.244042
280;0.032251;103.596157
281;0.033017;103.918667
282;0.029543;104.248840
283;0.029438;104.544271
284;0.029542;104.838647
285;0.032827;105.134067
286;0.035258;105.462337
287;0.034716;105.814914
288;0.028145;106.162070
289;0.027937;106.443523
290;0.027896;106.722892
291;0.028540;107.001848
292;0.030664;107.287252
293;0.028965;107.593892
294;0.032092;107.883544
295;0.042381;108.204469
296;0.040628;108.628276
297;0.055136;109.034557
298;0.062236;109.585919
299;0.078909;110.208280
300;0.003878;110.997368
301;0.035301;111.036152
302;0.055111;111.389164
303;0.035472;111.940277
304;0.049366;112.294999
305;0.038836;112.788658
306;0.036008;113.177022
307;0.029372;113.537098
308;0.028007;113.830816
309;0.030695;114.110884
310;0.037973;114.417829
311;0.059787;114.797562
312;0.002180;115.395430
313;0.042336;115.417228
314;0.034039;115.840588
315;0.049129;116.180978
316;0.037358;116.672267
317;0.028070;117.045850
318;0.028504;117.326546
319;0.041060;117.611587
320;0.064127;118.022184
321;0.024955;118.663452
322;0.041206;118.913002
323;0.048164;119.325064
324;0.034280;119.806707
325;0.028028;120.149505
326;0.041360;120.429785
327;0.065036;120.843384
328;0.034549;121.493747
329;0.046802;121.839238
330;0.037026;122.307258
331;0.034938;122.677519
332;0.033556;123.026895
333;0.069288;123.362455
334;0.051968;124.055336
335;0.049456;124.575013
336;0.031261;125.069578
337;0.030362;125.382187
338;0.060517;125.685809
339;0.046931;126.290979
340;0.048541;126.760289
341;0.028789;127.245700
342;0.032158;127.533594
343;0.000273;127.855170
344;0.037696;127.857905
345;0.040050;128.234865
346;0.027891;128.635368
347;0.057545;128.914276
348;0.049501;129.489728
349;0.041342;129.984738
350;0.035338;130.398153
351;0.045135;130.751537
352;0.043964;131.202887
353;0.040287;131.642525
354;0.028030;132.045394
355;0.058543;132.325695
356;0.053698;132.911123
357;0.037431;133.448105
358;0.030668;133.822418
359;0.001448;134.129101
360;0.048093;134.143579
361;0.027858;134.624506
362;0.042990;134.903084
363;0.054979;135.332982
364;0.036811;135.882771
365;0.029964;136.250879
366;0.008187;136.550517
367;0.045584;136.632383
368;0.027839;137.088223
369;0.078786;137.366617
370;0.048897;138.154481
371;0.035805;138.643453
372;0.068148;139.001506
373;0.047978;139.682985
374;0.035796;140.162769
375;0.073217;140.520724
376;0.049802;141.252891
377;0.027843;141.750906
378;0.002665;142.029339
379;0.039590;142.055993
380;0.029006;142.451897
381;0.035808;142.741959
382;0.035592;143.100043
383;0.040569;143.455964
384;0.037122;143.861652
385;0.029283;144.232876
386;0.077581;144.525704
387;0.045708;145.301518
388;0.029937;145.758594
389;0.053726;146.057964
390;0.029510;146.595222
391;0.067409;146.890327
392;0.046092;147.564421
393;0.032187;148.025336
394;0.048710;148.347209
395;0.032316;148.834310
396;0.003198;149.157469
397;0.036336;149.189453
398;0.055553;149.552817
399;0.049788;150.108348
400;0.030682;150.606230
401;0.043793;150.913049
402;0.028018;151.350979
403;0.031289;151.631164
404;0.030442;151.944054
405;0.000768;152.248477
406;0.036776;152.256161
407;0.059160;152.623924
408;0.042314;153.215523
409;0.040221;153.638662
